,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,No_of_Votes,Gross,Dir_class,IsScored,Cast_class
168,1989,2,127,1,8.2,692.366,197.171806,3,True,2
170,1988,2,86,2,8.2,291.18,1.105564,2,True,0
171,1988,0,132,1,8.2,793.164,83.00885199999999,0,True,0
172,1985,2,162,0,8.2,112.505,4.13575,3,True,1
173,1980,0,129,2,8.2,321.86,23.383986999999998,0,True,0
178,1975,2,91,1,8.2,500.875,1.2291969999999999,0,True,0
179,1963,2,172,0,8.2,224.73000000000002,12.1,0,True,0
183,1959,2,121,1,8.2,243.943,25.0,3,True,0
186,1955,0,118,1,8.2,28.810000000000002,0.057226,0,True,0
187,1954,0,105,1,8.2,158.335,0.012562,3,True,0
189,1950,0,88,1,8.2,152.572,0.096568,0,True,0
190,1950,1,138,0,8.2,120.539,0.010177,0,True,0
191,1948,1,126,0,8.2,114.304,5.013999999999999,0,True,0
195,2019,0,122,1,8.1,63.134,3.759854,0,True,0
199,2016,0,145,0,8.1,113.649,2.006788,2,True,0
200,2014,0,139,0,8.1,50.7,3.4927539999999997,0,True,0
202,2017,0,137,0,8.1,647.884,226.27706799999999,1,True,0
203,2015,0,118,0,8.1,371.538,14.677674,0,True,0
204,2014,0,122,0,8.1,177.059,3.107072,0,True,0
206,2014,0,196,0,8.1,46.547000000000004,0.16552,0,True,0
209,2014,1,99,0,8.1,707.63,59.100317999999994,3,True,1
210,2014,0,149,1,8.1,859.695,167.767189,3,True,0
212,2016,0,139,2,8.1,435.928,67.209615,1,True,0
213,2015,2,95,2,8.1,616.2280000000001,356.461711,1,True,0
215,2013,0,134,2,8.1,640.533,56.671993,0,True,3
216,2013,1,123,0,8.1,432.81100000000004,26.947623999999998,3,True,0
217,2019,1,152,0,8.1,291.289,117.624028,2,True,3
218,2015,0,129,1,8.1,420.31600000000003,45.055775999999994,1,True,1
219,2014,2,93,0,8.1,51.679,0.857524,0,True,0
222,2013,0,153,1,8.1,601.149,61.002302,0,True,1
223,2015,1,120,2,8.1,882.316,154.05834,0,True,0
225,2008,0,116,0,8.1,720.45,148.095302,3,True,2
226,2011,1,130,0,8.1,764.493,381.011219,1,True,3
227,2008,1,130,1,8.1,48.582,1.49821,0,True,0
230,2010,2,98,2,8.1,666.773,217.581231,0,True,0
231,2007,0,148,0,8.1,572.921,18.354356,0,True,0
